index,delta3_1,delta3_2,delta2_1,label
200,375,267,108,stand
201,375,267,108,stand
202,384,267,117,stand
203,384,267,117,stand
204,384,267,117,stand
205,375,267,108,stand
206,375,267,108,stand
207,366,258,108,stand
208,375,258,117,stand
209,375,258,117,stand
210,392,275,117,stand
211,383,275,108,stand
212,383,275,108,stand
213,375,267,108,stand
214,384,267,117,stand
215,384,259,125,stand
216,384,259,125,stand
217,384,259,125,stand
218,384,267,117,stand
219,384,267,117,stand
220,367,267,100,stand
221,367,267,100,stand
222,358,258,100,stand
223,366,258,108,stand
224,366,258,108,stand
225,375,267,108,stand
226,375,267,108,stand
227,375,275,100,stand
228,375,275,100,stand
229,384,275,109,stand
230,384,267,117,stand
231,375,258,117,stand
232,366,258,108,stand
233,366,258,108,stand
234,366,258,108,stand
235,375,258,117,stand
236,375,258,117,stand
237,384,267,117,stand
238,384,267,117,stand
239,384,267,117,stand
240,375,258,117,stand
241,366,258,108,stand
242,366,258,108,stand
243,375,267,108,stand
244,375,267,108,stand
245,375,267,108,stand
246,375,267,108,stand
247,384,267,117,stand
248,384,267,117,stand
249,384,267,117,stand
250,375,267,108,stand
251,375,267,108,stand
252,375,267,108,stand
253,384,267,117,stand
254,384,275,109,stand
255,384,275,109,stand
256,375,275,100,stand
257,375,267,108,stand
258,366,258,108,stand
259,375,258,117,stand
260,375,258,117,stand
261,384,267,117,stand
262,384,267,117,stand
263,384,267,117,stand
264,384,267,117,stand
265,375,267,108,stand
266,375,267,108,stand
267,366,258,108,stand
268,375,258,117,stand
269,375,258,117,stand
270,384,267,117,stand
271,384,267,117,stand
272,384,267,117,stand
273,384,267,117,stand
274,384,267,117,stand
275,384,267,117,stand
276,384,267,117,stand
277,375,267,108,stand
278,375,267,108,stand
279,383,275,108,stand
280,392,275,117,stand
281,392,267,125,stand
282,384,259,125,stand
283,375,259,116,stand
284,375,267,108,stand
285,375,267,108,stand
286,384,267,117,stand
287,384,259,125,stand
288,384,259,125,stand
289,375,259,116,stand
290,375,267,108,stand
291,375,267,108,stand
292,375,267,108,stand
293,375,267,108,stand
294,366,258,108,stand
295,366,258,108,stand
296,366,258,108,stand
297,375,267,108,stand
298,384,267,117,stand
299,384,267,117,stand
300,375,258,117,stand
301,366,258,108,stand
302,366,258,108,stand
303,375,267,108,stand
304,375,267,108,stand
305,375,275,100,stand
306,375,275,100,stand
307,375,275,100,stand
308,375,267,108,stand
309,375,267,108,stand
310,375,267,108,stand
311,375,267,108,stand
312,375,267,108,stand
313,375,267,108,stand
314,375,267,108,stand
315,366,258,108,stand
316,366,258,108,stand
317,366,258,108,stand
318,375,267,108,stand
319,375,267,108,stand
320,375,267,108,stand
321,366,258,108,stand
322,375,258,117,stand
323,375,258,117,stand
324,384,267,117,stand
325,384,267,117,stand
326,384,275,109,stand
327,384,275,109,stand
328,375,275,100,stand
329,375,267,108,stand
330,375,267,108,stand
331,384,267,117,stand
332,384,267,117,stand
333,375,258,117,stand
334,366,258,108,stand
335,366,258,108,stand
336,375,267,108,stand
337,375,267,108,stand
338,375,267,108,stand
339,375,267,108,stand
340,375,267,108,stand
341,375,267,108,stand
342,375,267,108,stand
343,375,267,108,stand
344,375,267,108,stand
345,366,258,108,stand
346,366,258,108,stand
347,366,258,108,stand
348,375,267,108,stand
349,384,267,117,stand
350,384,267,117,stand
351,375,258,117,stand
352,366,258,108,stand
353,366,258,108,stand
354,375,267,108,stand
355,384,267,117,stand
356,384,267,117,stand
357,384,267,117,stand
358,375,267,108,stand
359,375,267,108,stand
360,375,267,108,stand
361,375,267,108,stand
362,375,267,108,stand
363,375,267,108,stand
364,375,267,108,stand
365,375,267,108,stand
366,375,267,108,stand
367,375,267,108,stand
368,375,267,108,stand
369,375,267,108,stand
370,384,267,117,stand
371,384,267,117,stand
372,392,275,117,stand
373,392,275,117,stand
374,392,275,117,stand
375,384,267,117,stand
376,384,267,117,stand
377,384,267,117,stand
378,384,267,117,stand
379,375,267,108,stand
380,375,259,116,stand
381,375,259,116,stand
382,384,259,125,stand
383,384,267,117,stand
384,384,267,117,stand
385,375,267,108,stand
386,375,267,108,stand
387,383,275,108,stand
388,383,275,108,stand
389,383,275,108,stand
390,375,267,108,stand
