index,delta3_1,delta3_2,delta2_1,label
271,325,258,67,sit
272,325,250,75,sit
273,333,258,75,sit
274,325,258,67,sit
275,325,258,67,sit
276,317,250,67,sit
277,325,250,75,sit
278,325,258,67,sit
279,325,258,67,sit
280,325,258,67,sit
281,325,258,67,sit
282,325,258,67,sit
283,317,258,59,sit
284,317,250,67,sit
285,317,250,67,sit
286,325,250,75,sit
287,325,258,67,sit
288,317,250,67,sit
289,317,250,67,sit
290,317,250,67,sit
291,333,266,67,sit
292,333,266,67,sit
293,333,266,67,sit
294,333,266,67,sit
295,341,266,75,sit
296,341,266,75,sit
297,333,258,75,sit
298,325,258,67,sit
299,325,258,67,sit
300,317,250,67,sit
301,317,250,67,sit
302,317,259,58,sit
303,325,267,58,sit
304,325,267,58,sit
305,325,258,67,sit
306,317,250,67,sit
307,317,250,67,sit
308,317,250,67,sit
309,317,250,67,sit
310,309,250,59,sit
311,309,250,59,sit
312,317,258,59,sit
313,325,258,67,sit
314,325,250,75,sit
315,325,250,75,sit
316,325,250,75,sit
317,325,258,67,sit
318,333,266,67,sit
319,333,266,67,sit
320,333,266,67,sit
321,333,266,67,sit
322,333,266,67,sit
323,333,266,67,sit
324,333,266,67,sit
325,333,266,67,sit
326,333,266,67,sit
327,325,258,67,sit
328,325,258,67,sit
329,325,250,75,sit
330,325,250,75,sit
331,325,250,75,sit
332,325,250,75,sit
333,317,242,75,sit
334,317,242,75,sit
335,317,242,75,sit
336,325,250,75,sit
337,325,250,75,sit
338,325,258,67,sit
339,325,258,67,sit
340,325,258,67,sit
341,325,258,67,sit
342,325,258,67,sit
343,325,258,67,sit
344,325,250,75,sit
345,325,250,75,sit
346,325,250,75,sit
347,325,258,67,sit
348,325,258,67,sit
349,325,258,67,sit
350,325,250,75,sit
351,333,258,75,sit
352,333,258,75,sit
353,333,266,67,sit
354,333,266,67,sit
355,333,266,67,sit
356,333,266,67,sit
357,325,258,67,sit
358,325,258,67,sit
359,325,258,67,sit
360,317,250,67,sit
361,317,250,67,sit
362,317,250,67,sit
363,325,258,67,sit
364,325,258,67,sit
365,325,258,67,sit
366,325,258,67,sit
367,317,258,59,sit
368,317,258,59,sit
369,317,258,59,sit
370,333,258,75,sit
371,333,258,75,sit
372,333,258,75,sit
373,317,258,59,sit
374,317,250,67,sit
375,317,250,67,sit
376,325,250,75,sit
377,325,250,75,sit
378,333,258,75,sit
379,333,258,75,sit
380,333,266,67,sit
381,325,258,67,sit
382,325,258,67,sit
383,325,258,67,sit
384,325,258,67,sit
385,325,258,67,sit
386,325,250,75,sit
387,333,258,75,sit
388,333,258,75,sit
389,333,266,67,sit
390,333,266,67,sit
391,333,266,67,sit
392,333,266,67,sit
393,325,258,67,sit
394,325,258,67,sit
395,325,250,75,sit
396,325,250,75,sit
397,325,250,75,sit
398,325,250,75,sit
399,325,250,75,sit
400,325,250,75,sit
401,325,250,75,sit
402,333,258,75,sit
403,333,258,75,sit
404,333,266,67,sit
405,325,258,67,sit
406,325,258,67,sit
407,325,258,67,sit
408,333,266,67,sit
409,333,266,67,sit
410,333,258,75,sit
411,325,250,75,sit
412,325,250,75,sit
413,325,250,75,sit
414,325,250,75,sit
415,317,250,67,sit
416,317,258,59,sit
417,309,250,59,sit
418,317,250,67,sit
419,317,242,75,sit
420,325,250,75,sit
421,325,250,75,sit
422,325,250,75,sit
423,325,250,75,sit
424,325,250,75,sit
425,325,250,75,sit
426,325,250,75,sit
427,317,250,67,sit
428,317,258,59,sit
429,325,266,59,sit
430,333,266,67,sit
431,333,258,75,sit
432,325,250,75,sit
433,325,250,75,sit
434,325,258,67,sit
435,325,258,67,sit
436,333,258,75,sit
437,333,258,75,sit
438,333,258,75,sit
439,325,258,67,sit
440,325,258,67,sit
441,325,258,67,sit
442,325,258,67,sit
443,325,250,75,sit
444,325,250,75,sit
445,317,250,67,sit
446,317,258,59,sit
447,317,258,59,sit
448,325,258,67,sit
449,325,250,75,sit
450,325,250,75,sit
451,317,250,67,sit
452,317,258,59,sit
453,317,258,59,sit
454,325,258,67,sit
455,325,250,75,sit
456,333,258,75,sit
457,333,258,75,sit
458,333,258,75,sit
459,325,250,75,sit
460,325,250,75,sit
461,325,267,58,sit
462,317,259,58,sit
463,317,259,58,sit
464,317,242,75,sit
465,325,250,75,sit
466,333,250,83,sit
467,333,258,75,sit
468,333,258,75,sit
469,325,258,67,sit
470,325,250,75,sit
471,325,250,75,sit
472,325,250,75,sit
473,325,258,67,sit
474,333,266,67,sit
475,333,266,67,sit
476,333,266,67,sit
477,325,258,67,sit
478,317,258,59,sit
479,317,258,59,sit
480,317,258,59,sit
481,317,258,59,sit
482,317,258,59,sit
483,317,258,59,sit
484,333,258,75,sit
485,333,250,83,sit
486,333,250,83,sit
487,325,250,75,sit
488,325,258,67,sit
489,325,258,67,sit
490,325,258,67,sit
491,325,258,67,sit
492,325,258,67,sit
493,325,258,67,sit
494,325,250,75,sit
495,325,250,75,sit
496,325,250,75,sit
497,325,258,67,sit
498,325,258,67,sit
499,325,258,67,sit
500,325,250,75,sit
501,325,250,75,sit
502,325,250,75,sit
503,325,258,67,sit
504,325,258,67,sit
505,325,258,67,sit
506,325,250,75,sit
507,325,250,75,sit
508,325,250,75,sit
509,325,258,67,sit
510,325,258,67,sit
511,325,258,67,sit
512,325,250,75,sit
513,325,250,75,sit
514,317,250,67,sit
515,317,258,59,sit
516,325,266,59,sit
517,325,266,59,sit
518,325,258,67,sit
519,317,250,67,sit
520,317,250,67,sit
521,317,258,59,sit
522,325,266,59,sit
523,333,266,67,sit
524,333,275,58,sit
525,333,275,58,sit
526,333,275,58,sit
527,333,258,75,sit
528,325,250,75,sit
529,325,250,75,sit
530,325,250,75,sit
531,325,250,75,sit
532,325,250,75,sit
533,325,250,75,sit
534,317,242,75,sit
535,317,242,75,sit
536,317,250,67,sit
537,325,258,67,sit
538,317,258,59,sit
539,317,250,67,sit
540,317,250,67,sit
541,325,250,75,sit
542,325,258,67,sit
543,325,258,67,sit
544,325,258,67,sit
545,325,258,67,sit
546,333,266,67,sit
547,333,266,67,sit
548,333,266,67,sit
549,333,266,67,sit
550,325,266,59,sit
551,325,266,59,sit
552,317,258,59,sit
553,325,258,67,sit
554,325,258,67,sit
555,317,250,67,sit
556,309,250,59,sit
557,309,250,59,sit
558,317,258,59,sit
559,325,258,67,sit
560,325,258,67,sit
561,325,258,67,sit
562,325,258,67,sit
563,325,250,75,sit
564,325,250,75,sit
565,325,250,75,sit
566,325,250,75,sit
567,325,250,75,sit
568,333,250,83,sit
569,333,258,75,sit
570,333,258,75,sit
571,325,258,67,sit
572,325,250,75,sit
573,325,250,75,sit
574,325,250,75,sit
575,325,258,67,sit
