index,delta3_1,delta3_2,delta2_1,label
119,383,275,108,stand
120,375,267,108,stand
121,375,267,108,stand
122,375,267,108,stand
123,375,267,108,stand
124,375,267,108,stand
125,375,267,108,stand
126,375,267,108,stand
127,375,267,108,stand
128,375,267,108,stand
129,367,259,108,stand
130,375,259,116,stand
131,375,259,116,stand
132,383,267,116,stand
133,383,267,116,stand
134,383,267,116,stand
135,391,275,116,stand
136,383,275,108,stand
137,383,275,108,stand
138,375,267,108,stand
139,375,267,108,stand
140,375,275,100,stand
141,375,275,100,stand
142,383,275,108,stand
143,383,267,116,stand
144,383,267,116,stand
145,375,267,108,stand
146,375,267,108,stand
147,367,259,108,stand
148,375,259,116,stand
149,375,259,116,stand
150,383,267,116,stand
151,383,267,116,stand
152,383,267,116,stand
153,383,267,116,stand
154,383,267,116,stand
155,383,258,125,stand
156,383,258,125,stand
157,383,258,125,stand
158,383,267,116,stand
159,383,267,116,stand
160,375,267,108,stand
161,375,267,108,stand
162,375,267,108,stand
163,375,267,108,stand
164,375,258,117,stand
165,375,258,117,stand
166,375,258,117,stand
167,375,258,117,stand
168,375,258,117,stand
169,375,258,117,stand
170,375,258,117,stand
171,367,250,117,stand
172,375,250,125,stand
173,375,259,116,stand
174,391,275,116,stand
175,383,275,108,stand
176,383,275,108,stand
177,375,267,108,stand
178,383,267,116,stand
179,383,267,116,stand
180,383,267,116,stand
181,375,267,108,stand
182,375,267,108,stand
183,383,275,108,stand
184,383,275,108,stand
185,383,275,108,stand
186,375,267,108,stand
187,375,267,108,stand
188,375,267,108,stand
189,375,267,108,stand
190,383,267,116,stand
191,383,267,116,stand
192,391,275,116,stand
193,391,275,116,stand
194,391,275,116,stand
195,383,267,116,stand
196,375,267,108,stand
197,375,267,108,stand
198,375,267,108,stand
199,375,267,108,stand
200,375,267,108,stand
201,383,275,108,stand
202,383,275,108,stand
203,383,266,117,stand
204,383,266,117,stand
205,383,266,117,stand
206,383,275,108,stand
207,383,275,108,stand
208,383,275,108,stand
209,383,275,108,stand
210,375,267,108,stand
211,375,267,108,stand
212,375,267,108,stand
213,375,267,108,stand
214,383,267,116,stand
215,383,267,116,stand
216,375,259,116,stand
217,375,259,116,stand
218,375,259,116,stand
219,383,267,116,stand
220,375,267,108,stand
221,375,267,108,stand
222,375,267,108,stand
223,375,267,108,stand
224,375,267,108,stand
225,383,275,108,stand
226,391,275,116,stand
227,391,275,116,stand
228,391,275,116,stand
229,391,275,116,stand
230,391,266,125,stand
231,375,250,125,stand
232,367,250,117,stand
233,367,259,108,stand
234,383,275,108,stand
235,383,275,108,stand
236,383,275,108,stand
237,375,267,108,stand
238,375,267,108,stand
239,375,267,108,stand
240,375,267,108,stand
241,375,267,108,stand
242,375,267,108,stand
243,375,267,108,stand
244,375,267,108,stand
245,375,258,117,stand
246,375,258,117,stand
247,375,258,117,stand
248,375,267,108,stand
249,375,267,108,stand
250,375,267,108,stand
251,375,267,108,stand
252,383,275,108,stand
253,383,275,108,stand
254,383,275,108,stand
255,375,267,108,stand
256,375,267,108,stand
257,375,258,117,stand
258,375,258,117,stand
259,383,258,125,stand
260,383,267,116,stand
261,383,267,116,stand
262,375,267,108,stand
263,375,267,108,stand
264,375,267,108,stand
265,375,267,108,stand
266,375,258,117,stand
267,375,258,117,stand
268,375,258,117,stand
269,375,258,117,stand
270,375,258,117,stand
271,383,258,125,stand
272,383,267,116,stand
273,383,267,116,stand
274,375,267,108,stand
275,375,267,108,stand
276,375,267,108,stand
277,375,267,108,stand
278,375,267,108,stand
279,375,267,108,stand
280,375,267,108,stand
281,375,267,108,stand
282,383,275,108,stand
