index,delta3_1,delta3_2,delta2_1,label
1159,200,200,0,lay
1160,200,200,0,lay
1161,209,209,0,lay
1162,209,209,0,lay
1163,209,200,9,lay
1164,209,200,9,lay
1165,209,200,9,lay
1166,209,209,0,lay
1167,217,217,0,lay
1168,217,217,0,lay
1169,217,208,9,lay
1170,209,200,9,lay
1171,209,200,9,lay
1172,209,200,9,lay
1173,209,200,9,lay
1174,209,200,9,lay
1175,209,209,0,lay
1176,209,209,0,lay
1177,209,209,0,lay
1178,209,200,9,lay
1179,209,200,9,lay
1180,209,200,9,lay
1181,209,209,0,lay
1182,209,209,0,lay
1183,200,209,-9,lay
1184,200,200,0,lay
1185,208,208,0,lay
1186,217,208,9,lay_stand
1187,217,217,0,lay_stand
1188,225,225,0,lay_stand
1189,233,225,8,lay_stand
1190,233,216,17,lay_stand
1191,233,216,17,lay_stand
1192,225,216,9,lay_stand
1193,225,216,9,lay_stand
1194,225,216,9,lay_stand
1195,225,216,9,lay_stand
1196,225,216,9,lay_stand
